amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,Sharpe,Sortino,Alpha,Beta,max_drawdown,score
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,0.9453082575156092,1.675316570012547,0.3078431331829114,-0.0002866055685681,-0.2870600572176455,82.75
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,1.180101197660648,2.029352940465737,0.2916679973166625,5.440896890472805e-05,-0.1818851357211629,81.62499999999999
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,0.9497958246616012,1.6197931764914024,0.2980895458466925,0.0001570110281346,-0.3117190030063421,77.3125
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,1.0936987435346328,1.829133961514691,0.268942078069128,0.0001750679923848,-0.1621720857464484,74.87499999999999
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,1.306743969542841,2.364320032166709,0.2759751448463142,-0.0001863625561971,-0.1297396816518679,74.62500000000001
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,High,0.99823098686364,1.7037974802462923,0.2655207161401147,-0.0003753243895566,-0.2096088386203919,69.62499999999999
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,1.448291170326253,2.3856443733687978,0.2709890044620296,-2.3361041606851887e-05,-0.1126572907502827,68.62499999999999
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,1.132121852474721,1.8751010639191965,0.265826142716024,4.53105066115234e-06,-0.1724810575345138,68.37500000000001
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,1.026524284799298,1.8052937940992424,0.2127134852766524,-1.46856186776242e-05,-0.1258827560692251,62.87499999999999
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,1.234930025774331,2.14691392634605,0.2805336841566209,0.0001507258610666,-0.1639674294693263,62.06250000000001
